s_true,E,B,s_hat,rel_bias,abs_bias,recovered,realistic
0.1,200000.0,0.8,0.049758880303791095,-50.241119696208905,-0.05024111969620891,False,False
0.2,200000.0,0.8,0.09750288039734611,-51.24855980132694,-0.1024971196026539,False,False
0.3,200000.0,0.8,0.1441026151494277,-51.965794950190755,-0.15589738485057228,False,False
0.4,200000.0,0.8,0.1970365567422668,-50.7408608144333,-0.20296344325773322,False,False
0.5,200000.0,0.8,0.22721915329941691,-54.556169340116625,-0.2727808467005831,False,False
0.6,200000.0,0.8,0.2937675835876829,-51.038736068719516,-0.3062324164123171,False,False
0.7,200000.0,0.8,0.33452784391863516,-52.21030801162354,-0.3654721560813648,False,False
0.8,200000.0,0.8,0.3987023918582163,-50.162201017722964,-0.4012976081417837,False,False
0.9,200000.0,0.8,0.45214300464797647,-49.76188837244706,-0.44785699535202356,False,False
1.0,200000.0,0.8,0.4700323184527878,-52.99676815472122,-0.5299676815472122,False,False
0.1,200000.0,1.219,0.05265658744834635,-47.34341255165365,-0.047343412551653655,False,False
0.2,200000.0,1.219,0.10370192107390613,-48.14903946304694,-0.09629807892609388,False,False
0.3,200000.0,1.219,0.14944023900691047,-50.1865869976965,-0.15055976099308951,False,False
0.4,200000.0,1.219,0.2097086588931017,-47.572835276724575,-0.19029134110689833,False,False
0.5,200000.0,1.219,0.24946784152215085,-50.10643169556983,-0.25053215847784915,False,False
0.6,200000.0,1.219,0.3165886347986555,-47.23522753355741,-0.28341136520134447,False,False
0.7,200000.0,1.219,0.36542142378400283,-47.79693945942816,-0.3345785762159971,False,False
0.8,200000.0,1.219,0.4287206358081867,-46.409920523976666,-0.37127936419181334,False,False
0.9,200000.0,1.219,0.48494669845542226,-46.11703350495308,-0.41505330154457776,False,False
1.0,200000.0,1.219,0.5118697462441616,-48.81302537558384,-0.4881302537558384,False,False
0.1,200000.0,1.857,0.04508207750639092,-54.91792249360908,-0.054917922493609085,False,False
0.2,200000.0,1.857,0.1056066900167869,-47.19665499160656,-0.09439330998321312,False,False
0.3,200000.0,1.857,0.16129347696068108,-46.23550767977297,-0.1387065230393189,False,False
0.4,200000.0,1.857,0.21458991520345383,-46.35252119913655,-0.1854100847965462,False,False
0.5,200000.0,1.857,0.2760777760990352,-44.784444780192956,-0.22392222390096478,False,False
0.6,200000.0,1.857,0.33005641616234704,-44.99059730627549,-0.26994358383765293,False,False
0.7,200000.0,1.857,0.4055905714085891,-42.05848979877298,-0.29440942859141084,False,False
0.8,200000.0,1.857,0.440037142064621,-44.99535724192237,-0.359962857935379,False,False
0.9,200000.0,1.857,0.4792938637655677,-46.74512624827026,-0.4207061362344323,False,False
1.0,200000.0,1.857,0.5647889148198955,-43.52110851801045,-0.43521108518010454,False,False
0.1,200000.0,2.828,0.06059203168155348,-39.40796831844652,-0.03940796831844653,False,False
0.2,200000.0,2.828,0.11588553838194626,-42.057230809026876,-0.08411446161805375,False,False
0.3,200000.0,2.828,0.18383693968438283,-38.721020105205724,-0.11616306031561716,False,False
0.4,200000.0,2.828,0.2304464166684113,-42.388395832897174,-0.1695535833315887,False,False
0.5,200000.0,2.828,0.3095060799566197,-38.098784008676056,-0.19049392004338028,False,False
0.6,200000.0,2.828,0.3700542125138716,-38.32429791435473,-0.22994578748612837,False,False
0.7,200000.0,2.828,0.44479003846432297,-36.45856593366814,-0.255209961535677,False,False
0.8,200000.0,2.828,0.4790195248439191,-40.12255939451012,-0.32098047515608097,False,False
0.9,200000.0,2.828,0.5428826443229782,-39.679706186335764,-0.35711735567702185,False,False
1.0,200000.0,2.828,0.5841196588860076,-41.58803411139924,-0.4158803411139924,False,False
0.1,200000.0,4.309,0.05372470459397733,-46.27529540602267,-0.046275295406022675,False,False
0.2,200000.0,4.309,0.1269402190725481,-36.529890463725955,-0.07305978092745191,False,False
0.3,200000.0,4.309,0.195436935635134,-34.85435478828866,-0.10456306436486598,False,False
0.4,200000.0,4.309,0.23983508010821183,-40.04122997294704,-0.1601649198917882,False,False
0.5,200000.0,4.309,0.3060694774545234,-38.786104509095324,-0.1939305225454766,False,False
0.6,200000.0,4.309,0.3750319798224824,-37.49467002958627,-0.2249680201775176,False,False
0.7,200000.0,4.309,0.43624077054947097,-37.67988992150414,-0.263759229450529,False,False
0.8,200000.0,4.309,0.47786712670958403,-40.266609161302,-0.322132873290416,False,False
0.9,200000.0,4.309,0.5838054405185684,-35.13272883127018,-0.3161945594814316,False,False
1.0,200000.0,4.309,0.5903195060669999,-40.96804939330001,-0.4096804939330001,False,False
0.1,200000.0,6.564,0.04977655920235056,-50.223440797649445,-0.05022344079764945,False,False
0.2,200000.0,6.564,0.13428091448011312,-32.859542759943444,-0.0657190855198869,False,False
0.3,200000.0,6.564,0.20697736520166926,-31.00754493277691,-0.09302263479833073,False,False
0.4,200000.0,6.564,0.2660641594210245,-33.483960144743875,-0.1339358405789755,False,False
0.5,200000.0,6.564,0.31557146830042515,-36.88570633991497,-0.18442853169957485,False,False
0.6,200000.0,6.564,0.413540716681849,-31.07654721969183,-0.18645928331815098,False,False
0.7,200000.0,6.564,0.4797888060777975,-31.458741988886068,-0.22021119392220245,False,False
0.8,200000.0,6.564,0.5440160461284397,-31.997994233945043,-0.25598395387156037,False,False
0.9,200000.0,6.564,0.6061651854319754,-32.648312729780514,-0.2938348145680246,False,False
1.0,200000.0,6.564,0.6649282975580986,-33.50717024419014,-0.33507170244190143,False,False
0.1,200000.0,10.0,0.05414223399873418,-45.85776600126582,-0.04585776600126583,False,False
0.2,200000.0,10.0,0.1376763776971104,-31.161811151444795,-0.0623236223028896,False,False
0.3,200000.0,10.0,0.19904754688136927,-33.65081770621024,-0.10095245311863071,False,False
0.4,200000.0,10.0,0.2690297177832848,-32.7425705541788,-0.1309702822167152,False,False
