s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.1,0.0,0.01,0.6,86.59103479360428,0.1074641319957883,1
0.1,0.0,0.01,1.5,99.67649074740463,0.10016214815574803,1
0.1,0.0,0.01,3.0,128.1148738123573,0.08834871218988662,1
0.1,0.0,0.01,5.0,183.2878591569468,0.07386405581145891,1
0.1,0.0,0.01,6.63,247.36068607431315,0.06358206981756422,1
0.1,0.0,0.03,0.6,253.01576630786545,0.0628675025063559,1
0.1,0.0,0.03,1.5,287.89220952058696,0.05893659530442417,1
0.1,0.0,0.03,3.0,359.6267812189894,0.052731968870292335,1
0.1,0.0,0.03,5.0,483.5031388731933,0.04547789462821033,1
0.1,0.0,0.03,6.63,604.8628346996913,0.040660390922212755,1
0.1,0.0,0.05,0.6,410.60990568374467,0.04934978772172609,1
0.1,0.0,0.05,1.5,462.10165684605056,0.04651909285309242,1
0.1,0.0,0.05,3.0,562.7124956419377,0.04215574029980191,1
0.1,0.0,0.05,5.0,720.0803844953098,0.037265719414967646,1
0.1,0.0,0.05,6.63,855.8528245955542,0.03418223501976299,1
0.1,0.0,0.1,0.6,767.3116804817817,0.036100573008714644,1
0.1,0.0,0.1,1.5,842.2218526935474,0.03445773662469672,1
0.1,0.0,0.1,3.0,972.7514550079181,0.03206262351254131,1
0.1,0.0,0.1,5.0,1140.8295764194866,0.029606673479379234,1
0.1,0.0,0.1,6.63,1258.1032149872096,0.028193037169947303,1
0.1,0.0,0.15,0.6,1073.169340897874,0.030525716853808633,1
0.1,0.0,0.15,1.5,1152.671442661776,0.029454200116435767,1
0.1,0.0,0.15,3.0,1278.1855202324264,0.027970681841857234,1
0.1,0.0,0.15,5.0,1418.036788419524,0.026555608110908086,1
0.1,0.0,0.15,6.63,1503.5128632509304,0.025789708062051386,1
0.1,0.2,0.01,0.6,36.905229157108835,0.1646099362881379,0
0.1,0.2,0.01,1.5,42.54464593393896,0.15331249209018025,0
0.1,0.2,0.01,3.0,54.88695656315643,0.13497875713800514,1
0.1,0.2,0.01,5.0,79.20875612964892,0.1123604327885347,1
0.1,0.2,0.01,6.63,108.15428512633017,0.09615638650545681,1
0.1,0.2,0.03,0.6,108.36407823703126,0.09606326191588668,1
0.1,0.2,0.03,1.5,123.81813816741074,0.08986857706594142,1
0.1,0.2,0.03,3.0,156.22959711792683,0.08000522364938831,1
0.1,0.2,0.03,5.0,214.43746172779942,0.06828882985666886,1
0.1,0.2,0.03,6.63,274.5504183121255,0.06035162179301567,1
0.1,0.2,0.05,0.6,176.73258409962185,0.0752214474741864,1
0.1,0.2,0.05,1.5,200.21669042755707,0.07067240339978172,1
0.1,0.2,0.05,3.0,247.50496454179978,0.0635635351168888,1
0.1,0.2,0.05,5.0,325.67349777992285,0.055412633513378794,1
0.1,0.2,0.05,6.63,397.62405132894344,0.050149161622515,1
0.1,0.2,0.1,0.6,334.47752826207415,0.05467849186505264,1
0.1,0.2,0.1,1.5,371.41698059886727,0.0518882617872169,1
0.1,0.2,0.1,3.0,439.0837384859236,0.047722844682581964,1
0.1,0.2,0.1,5.0,532.985353307012,0.04331540333417787,1
0.1,0.2,0.1,6.63,602.7475534813435,0.040731675188443006,1
0.1,0.2,0.15,0.6,474.0258850556413,0.04593026711272754,1
0.1,0.2,0.15,1.5,516.9174023422096,0.04398346332666779,1
0.1,0.2,0.15,3.0,588.9810900962648,0.041204943621237444,1
0.1,0.2,0.15,5.0,675.658406284907,0.03847125976414562,1
0.1,0.2,0.15,6.63,730.8802258959987,0.03698936654453625,1
0.1,0.4,0.01,0.6,19.167443708180716,0.22841146628651415,0
0.1,0.4,0.01,1.5,22.115688196860017,0.21264235374542872,0
0.1,0.4,0.01,3.0,28.595319828011263,0.18700469957450913,0
0.1,0.4,0.01,5.0,41.48574580490469,0.15525677080832806,0
0.1,0.4,0.01,6.63,57.06229102167684,0.13238092087190642,1
0.1,0.4,0.03,0.6,56.46773783869748,0.13307602045548128,1
0.1,0.4,0.03,1.5,64.6837923722729,0.12433753774727499,1
0.1,0.4,0.03,3.0,82.12219829112175,0.11034933412321367,1
0.1,0.4,0.03,5.0,114.2336766308016,0.09356273803108707,1
0.1,0.4,0.03,6.63,148.60745409684586,0.08203132056034104,1
0.1,0.4,0.05,0.6,92.4041242036466,0.10402897572090351,1
0.1,0.4,0.05,1.5,105.10760853296146,0.09754003847295928,1
0.1,0.4,0.05,3.0,131.17574606369828,0.0873118576804668,1
0.1,0.4,0.05,5.0,175.88984875948216,0.07540143518295607,1
0.1,0.4,0.05,6.63,219.05979151967836,0.06756451521587885,1
0.1,0.4,0.1,0.6,176.39741188249087,0.07529287758770961,1
0.1,0.4,0.1,1.5,197.3246138884151,0.07118842247802268,1
0.1,0.4,0.1,3.0,236.9604052713336,0.06496240698944994,1
0.1,0.4,0.1,5.0,295.12843141074944,0.05820958127033742,1
0.1,0.4,0.1,6.63,340.8715985049247,0.054163234487287854,1
0.1,0.4,0.15,0.6,252.25638737843659,0.06296205785647636,1
0.1,0.4,0.15,1.5,277.840120164941,0.0599932681552992,1
0.1,0.4,0.15,3.0,322.77897233825996,0.055660535812177274,1
0.1,0.4,0.15,5.0,380.4558169437761,0.05126817826126961,1
0.1,0.4,0.15,6.63,419.14213819510024,0.048844912699147376,1
0.1,0.6,0.01,0.6,11.240608483312993,0.2982669198269019,0
0.1,0.6,0.01,1.5,12.977180441754467,0.2775938423874149,0
0.1,0.6,0.01,3.0,16.804590469151265,0.2439416929296355,0
0.1,0.6,0.01,5.0,24.467851538583645,0.20216318990953808,0
0.1,0.6,0.01,6.63,33.82555366451013,0.17194024570663594,0
0.1,0.6,0.03,0.6,33.19503695369146,0.17356550720716307,0
0.1,0.6,0.03,1.5,38.08980531405654,0.16203007146738274,0
0.1,0.6,0.03,3.0,48.563789034772256,0.14349729619551393,1
0.1,0.6,0.03,5.0,68.19107308633076,0.1210977956201925,1
0.1,0.6,0.03,6.63,89.75597531451061,0.10555244915271723,1
0.1,0.6,0.05,0.6,54.45357768627726,0.13551481937514,1
