s,h,vaf0,delta_t,rho,identifiable
0.1,0.0,0.01,0.6,0.023850273501442438,0
0.1,0.0,0.01,1.5,0.031013734050237354,0
0.1,0.0,0.01,3.0,0.04779677577077317,0
0.1,0.0,0.01,5.0,0.0837985700945951,0
0.1,0.0,0.01,6.63,0.1297896051487585,0
0.1,0.0,0.03,0.6,0.07099297890136327,0
0.1,0.0,0.03,1.5,0.09099588684983538,0
0.1,0.0,0.03,3.0,0.13569273442934873,0
0.1,0.0,0.03,5.0,0.2224344819417168,0
0.1,0.0,0.03,6.63,0.3180960755752936,0
0.1,0.0,0.05,0.6,0.11740628060470118,0
0.1,0.0,0.05,1.5,0.14839760199773366,0
0.1,0.0,0.05,3.0,0.2146324865965302,0
0.1,0.0,0.05,5.0,0.33242786174311934,0
0.1,0.0,0.05,6.63,0.4481311289843621,0
0.1,0.0,0.1,0.6,0.23035737770310963,0
0.1,0.0,0.1,1.5,0.2816494717334375,0
0.1,0.0,0.1,3.0,0.38076690917879347,0
0.1,0.0,0.1,5.0,0.5283958222438626,1
0.1,0.0,0.1,6.63,0.6462750695339464,1
0.1,0.0,0.15,0.6,0.33910215885693945,0
0.1,0.0,0.15,1.5,0.40196173074253966,0
0.1,0.0,0.15,3.0,0.5131724861456038,1
0.1,0.0,0.15,5.0,0.6576191250558008,1
0.1,0.0,0.15,6.63,0.7579920167989617,1
0.1,0.2,0.01,0.6,0.017055054432268277,0
0.1,0.2,0.01,1.5,0.022224028560692086,0
0.1,0.2,0.01,3.0,0.03441949023045908,0
0.1,0.2,0.01,5.0,0.060990555974402096,0
0.1,0.2,0.01,6.63,0.0957724043956875,0
0.1,0.2,0.03,0.6,0.0508792751417488,0
0.1,0.2,0.03,1.5,0.06561523909536106,0
0.1,0.2,0.03,3.0,0.09920580067890852,0
0.1,0.2,0.03,5.0,0.16713351952017952,0
0.1,0.2,0.03,6.63,0.24655325374262332,0
0.1,0.2,0.05,0.6,0.08432760677678006,0
0.1,0.2,0.05,1.5,0.10765229118663353,0
0.1,0.2,0.05,3.0,0.15909872287613214,0
0.1,0.2,0.05,5.0,0.2563647627129086,0
0.1,0.2,0.05,6.63,0.35986517807641794,0
