scenario,axis,s_true,h_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,h_ci_width,h_overlap_010,h_mass_015,h_entropy,rho,fisher_h,cr_bound_h,elapsed_s,status
delta_t=0.60y (worst),delta_t,0.1,0.0,0.01,0.0,-0.09000000000000001,0.0,0.01,0.2793095516590257,0.03593496688393316,0.9480031760289986,1,0,0.9120682091450655,0.25192916147938893,0.1441257717671552,0.9999537063316802,0.11740628060470118,114.8234674467247,0.09332213613771105,0.6373730830000002,ok
delta_t=0.60y (worst),delta_t,0.1,0.3,0.01,0.0,-0.09000000000000001,-0.3,0.01,0.15017267879836144,0.03610325010079653,0.9481235705716852,1,1,0.9120203204708887,0.4310072388994259,0.2941007999847759,0.9999613017231705,0.09071740884311749,68.10930932968309,0.12117046146399514,0.6544412500000001,ok
delta_t=0.60y (worst),delta_t,0.1,0.6,0.06067796610169492,0.0,-0.03932203389830508,-0.6,0.01,0.19790381527125497,0.03607620378394261,0.9480990035283077,1,1,0.9120227997443651,0.42579249231852495,0.2885143647161222,0.9999599671997724,0.07391500257616236,45.03187358494092,0.14901843282321303,0.6584823750000002,ok
delta_t=0.60y (worst),delta_t,0.1,1.0,0.06067796610169492,1.0,-0.03932203389830508,0.0,0.01,0.2452689098930253,0.03616202649544942,0.9481565705655787,1,0,0.9119945440701293,0.24119627454240392,0.13622264358083594,0.9999635283566424,0.0592763518655701,28.858886435049158,0.18614878907861046,0.6532910839999997,ok
delta_t=0.60y (worst),delta_t,0.3,0.0,0.4661016949152543,0.9620253164556962,0.16610169491525434,0.9620253164556962,0.29589032413101807,0.5968978293750593,0.035729406485258894,0.947855380151697,1,0,0.9121259736664381,0.25260792044413793,0.14463966498484576,0.9999434690725828,0.1601349163222714,137.89409212708327,0.08515833666048896,0.6588580829999997,ok
delta_t=0.60y (worst),delta_t,0.3,0.3,0.26338983050847464,0.0,-0.036610169491525346,-0.3,0.03138633719314629,0.40565395542149235,0.03573269295136816,0.9478600135017923,1,1,0.9121273205504241,0.4317059249391224,0.29471084556622174,0.9999437237853847,0.12510979904187006,82.34791638759805,0.11019799493665051,0.6396642090000002,ok
delta_t=0.60y (worst),delta_t,0.3,0.6,0.4154237288135594,1.0,0.11542372881355939,0.4,0.1908882518077659,0.6016886653278283,0.035932255693815494,0.947996725673442,1,1,0.9120644699796264,0.42556045872320386,0.28830758348470803,0.9999534296099255,0.10265650620584683,54.68043377238895,0.13523341786267853,0.6440019999999995,ok
delta_t=0.60y (worst),delta_t,0.3,1.0,0.01,0.0,-0.29,-1.0,0.01,0.0889912817646011,0.03609647169669707,0.9481228966664279,0,0,0.9120264249697309,0.24107540336167738,0.13613896814051735,0.9999611351970537,0.08283482785078959,35.174695628571875,0.1686105814089758,0.6623974170000002,ok
delta_t=0.60y (worst),delta_t,0.6,0.0,0.668813559322034,1.0,0.06881355932203403,1.0,0.5008481946392219,0.7819427663705262,0.038746821368262054,0.9497696706711484,1,0,0.9110228493028864,0.24326007572595218,0.1375317371726938,0.9999948130419024,0.24652645878665227,184.7119566695091,0.07357876525990659,0.6713393329999997,ok
delta_t=0.60y (worst),delta_t,0.6,0.3,1.276949152542373,0.0,0.6769491525423731,-0.3,1.0506650601949414,1.365181076089185,0.03348032897460001,0.946210676027923,0,1,0.912730347053323,0.43588604666374325,0.2983512990133175,0.9997612484173316,0.19703865452609012,112.14001460451132,0.09443211046251367,0.649538916,ok
