pipeline,s_true,h_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,elapsed_s,status
det,0.4,0.0,0.38551724137931037,0.0,-0.01448275862068965,0.0,0.31724137931034485,0.41965517241379313,0.0,0.10526315789473684,1,1,0.08003574999999996,ok
hmm,0.4,0.0,0.28310343623161316,0.31578946113586426,-0.11689656376838686,0.31578946113586426,0.28310343623161316,0.28310343623161316,0.31578946113586426,0.31578946113586426,0,0,2.678176667,ok
det,0.4,0.3,0.31724137931034485,0.631578947368421,-0.08275862068965517,0.33157894736842103,0.2831034482758621,0.3513793103448276,0.42105263157894735,1.0,0,0,0.08164183299999994,ok
hmm,0.4,0.3,0.28310343623161316,0.5263158082962036,-0.11689656376838686,0.22631580829620362,0.24896551668643951,0.28310343623161316,0.5263158082962036,0.6842105388641357,0,0,0.7002731249999998,ok
det,0.4,0.6,0.38551724137931037,0.7368421052631579,-0.01448275862068965,0.13684210526315788,0.3513793103448276,0.4537931034482759,0.47368421052631576,0.9473684210526315,1,1,0.08064008400000056,ok
hmm,0.4,0.6,0.28310343623161316,0.7368420958518982,-0.11689656376838686,0.13684209585189822,0.28310343623161316,0.317241370677948,0.6315789222717285,0.7368420958518982,0,0,0.6860050420000006,ok
det,0.4,0.9,0.38551724137931037,1.0,-0.01448275862068965,0.09999999999999998,0.38551724137931037,0.4537931034482759,0.6842105263157894,1.0,1,1,0.08027316699999965,ok
hmm,0.4,0.9,0.28310343623161316,0.7368420958518982,-0.11689656376838686,-0.16315790414810183,0.28310343623161316,0.317241370677948,0.6842105388641357,0.7368420958518982,0,0,0.6804948749999999,ok
det,0.6,0.0,0.5220689655172415,0.05263157894736842,-0.07793103448275851,0.05263157894736842,0.48793103448275865,0.6244827586206897,0.0,0.10526315789473684,1,1,0.08058879100000027,ok
hmm,0.6,0.0,,,,,,,,,0,0,0.7113361670000007,ok
det,0.6,0.3,0.5220689655172415,0.3157894736842105,-0.07793103448275851,0.01578947368421052,0.4537931034482759,0.5903448275862069,0.2631578947368421,0.47368421052631576,0,1,0.08216137500000009,ok
hmm,0.6,0.3,0.28310343623161316,0.6315789222717285,-0.3168965637683868,0.3315789222717285,0.28310343623161316,0.28310343623161316,0.6315789222717285,0.6315789222717285,0,0,0.6913445410000003,ok
det,0.6,0.6,0.6244827586206897,0.5263157894736842,0.024482758620689715,-0.0736842105263158,0.5562068965517242,0.6586206896551725,0.47368421052631576,0.6842105263157894,1,1,0.0819439580000001,ok
hmm,0.6,0.6,,,,,,,,,0,0,0.6864232919999989,ok
det,0.6,0.9,0.6244827586206897,0.7368421052631579,0.024482758620689715,-0.16315789473684217,0.5562068965517242,0.6586206896551725,0.6842105263157894,0.894736842105263,1,0,0.08183862499999961,ok
hmm,0.6,0.9,,,,,,,,,0,0,0.6708836250000001,ok
det,0.8,0.0,0.7610344827586207,0.0,-0.03896551724137931,0.0,0.6927586206896552,0.863448275862069,0.0,0.05263157894736842,1,1,0.08192708300000007,ok
hmm,0.8,0.0,,,,,,,,,0,0,0.6932072089999988,ok
det,0.8,0.3,0.863448275862069,0.3157894736842105,0.06344827586206891,0.01578947368421052,0.7951724137931035,0.9658620689655173,0.2631578947368421,0.3684210526315789,1,1,0.08240104200000076,ok
hmm,0.8,0.3,,,,,,,,,0,0,0.6907338330000012,ok
det,0.8,0.6,0.7610344827586207,0.5789473684210527,-0.03896551724137931,-0.021052631578947323,0.6927586206896552,0.8293103448275863,0.5263157894736842,0.6842105263157894,1,1,0.08219037500000148,ok
hmm,0.8,0.6,,,,,,,,,0,0,0.6868667500000001,ok
det,0.8,0.9,0.863448275862069,0.894736842105263,0.06344827586206891,-0.0052631578947369695,0.8293103448275863,0.9658620689655173,0.7894736842105263,1.0,0,1,0.08267683299999895,ok
hmm,0.8,0.9,,,,,,,,,0,0,0.668330040999999,ok
